analysis_type	analysis_subtype	analysis_name	group1_samples	group2_samples	N_test	N_chunk
emVars	celltype_comp	Celltype_HepG2_A549-ACE2_TNFa	HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3	A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3	5709	15
emVars	celltype_comp	Celltype_HepG2_K562_DEX	HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3	K562_DEX_R1,K562_DEX_R2,K562_DEX_R3	5735	17
emVars	celltype_comp	Celltype_HepG2_K562_IFNA2b	HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4	K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4	5735	20
emVars	celltype_comp	Celltype_HepG2_K562_NS	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5	5735	23
emVars	celltype_comp	Celltype_HepG2_K562_TNFa	HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3	K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3	5710	15
emVars	celltype_comp	Celltype_K562_A549-ACE2_NS	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	5735	19
emVars	celltype_comp	Celltype_K562_A549-ACE2_TNFa	K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3	A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3	5710	16
emVars	celltype_comp_any	Celltype_HepG2_A549-ACE2_all	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5,HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4,HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3,HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3,A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3,A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3,A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3	5735	41
emVars	celltype_comp_any	Celltype_HepG2_K562_all	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5,HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4,HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3,HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5,K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4,K562_DEX_R1,K562_DEX_R2,K562_DEX_R3,K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3	5735	45
emVars	celltype_comp_any	Celltype_K562_A549-ACE2_all	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5,K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4,K562_DEX_R1,K562_DEX_R2,K562_DEX_R3,K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3,A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3,A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3,A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3	5735	37
